/*
データ構造
ID,タイマー,gx,gy,gz,accx,accy,accz,ax,ay,az,mx,my,mz,MPU気温,BMP気温,気圧,worldTime,経度,緯度
（ノーズコーンのロガーはGPSを搭載していないためデータは取れていません。）
開始時刻:離陸-10~15m
*/

ID=34,9.434123-1285, 473, 1324,584, 7388, -13272,0.035645, 0.450928, -0.810059,0, 0, 0-18,12.44, 977.890.0,0.000000,0.000000
ID=35,9.6869201444, -468, 1112,152, 9104, -12916,0.009277, 0.555664, -0.788330,0, 0, 0-19,12.44, 977.890.0,0.000000,0.000000
ID=36,9.9397112721, -1867, 900,140, 9036, -12344,0.008545, 0.551514, -0.753418,0, 0, 0-19,12.43, 977.920.0,0.000000,0.000000
ID=37,10.1925352905, -2424, -1495,388, 7916, -13668,0.023682, 0.483154, -0.834229,0, 0, 0-18,12.43, 977.920.0,0.000000,0.000000
ID=38,10.453350-2681, 161, 1699,-1844, 10460, -11836,-0.112549, 0.638428, -0.722412,0, 0, 0-18,12.43, 977.920.0,0.000000,0.000000
ID=39,10.7523031123, -1192, -122,-1588, 9928, -14060,-0.096924, 0.605957, -0.858154,0, 0, 0-19,12.40, 977.970.0,0.000000,0.000000
ID=40,11.005190-3395, -1694, 733,-3076, 10608, -13536,-0.187744, 0.647461, -0.826172,0, 0, 0-18,12.40, 977.890.0,0.000000,0.000000
ID=41,11.258016822, -3, 671,-1184, 9416, -12304,-0.072266, 0.574707, -0.750977,0, 0, 0-18,12.40, 977.890.0,0.000000,0.000000
ID=42,11.518881-558, 1066, -170,-1656, 9852, -13092,-0.101074, 0.601318, -0.799072,0, 0, 0-18,12.34, 977.970.0,0.000000,0.000000
ID=43,11.771682-4818, 1010, 1786,-140, 11112, -14468,-0.008545, 0.678223, -0.883057,0, 0, 0-19,12.34, 977.880.0,0.000000,0.000000
ID=44,12.024508-17280, 16628, 8574,2696, 13848, -7024,0.164551, 0.845215, -0.428711,0, 0, 0-19,12.34, 977.880.0,0.000000,0.000000
ID=45,12.277339-2069, 16188, 4727,5832, 11892, -352,0.355957, 0.725830, -0.021484,0, 0, 0-18,12.34, 977.880.0,0.000000,0.000000
ID=46,12.538221563, 3363, -5470,6116, 15728, -888,0.373291, 0.959961, -0.054199,0, 0, 0-19,12.32, 978.010.0,0.000000,0.000000
ID=47,12.838831452, 1208, -15,8172, 17396, 296,0.498779, 1.061768, 0.018066,0, 0, 0-18,12.32, 977.990.0,0.000000,0.000000
ID=48,13.091661-184, 151, 1449,6580, 14824, 1388,0.401611, 0.904785, 0.084717,0, 0, 0-18,12.32, 977.990.0,0.000000,0.000000
ID=49,13.344503271, 367, 160,6996, 15428, 804,0.427002, 0.941650, 0.049072,0, 0, 0-19,12.38, 977.860.0,0.000000,0.000000
ID=50,13.6053711745, 1190, 278,7056, 14700, 584,0.430664, 0.897217, 0.035645,0, 0, 0-18,12.38, 977.970.0,0.000000,0.000000
ID=51,13.8581973879, -146, -2550,6276, 14720, -28,0.383057, 0.898438, -0.001709,0, 0, 0-18,12.38, 977.970.0,0.000000,0.000000
ID=52,14.1109712118, 873, -1952,4300, 17028, -2956,0.262451, 1.039307, -0.180420,0, 0, 0-18,12.40, 977.890.0,0.000000,0.000000
ID=53,14.36380119, 721, 520,4644, 15200, -3160,0.283447, 0.927734, -0.192871,0, 0, 0-18,12.40, 977.910.0,0.000000,0.000000
ID=54,14.62460077, -688, -696,5256, 15536, -2556,0.320801, 0.948242, -0.156006,0, 0, 0-18,12.40, 977.910.0,0.000000,0.000000
ID=55,14.923030-1013, -213, 1490,5892, 15568, -2772,0.359619, 0.950195, -0.169189,0, 0, 0-18,12.40, 977.910.0,0.000000,0.000000
ID=56,15.175856-773, -412, 227,5756, 15192, -2636,0.351318, 0.927246, -0.160889,0, 0, 0-18,12.42, 977.860.0,0.000000,0.000000
ID=57,15.428642-874, -1123, -278,5700, 15048, -2232,0.347900, 0.918457, -0.136230,0, 0, 0-18,12.42, 977.920.0,0.000000,0.000000
ID=58,15.689487-1094, -1192, 1327,5668, 15424, -2336,0.345947, 0.941406, -0.142578,0, 0, 0-18,12.42, 977.920.0,0.000000,0.000000
ID=59,15.942291-309, -80, 1208,6148, 15344, -2324,0.375244, 0.936523, -0.141846,0, 0, 0-18,12.45, 977.860.0,0.000000,0.000000
ID=60,16.195087-256, 518, 437,6212, 14960, -2280,0.379150, 0.913086, -0.139160,0, 0, 0-18,12.45, 977.920.0,0.000000,0.000000
ID=61,16.447906-148, 481, 29,5652, 15428, -2144,0.344971, 0.941650, -0.130859,0, 0, 0-17,12.45, 977.920.0,0.000000,0.000000
ID=62,16.708733-85, -68, 28,6128, 14852, -1716,0.374023, 0.906494, -0.104736,0, 0, 0-18,12.45, 977.920.0,0.000000,0.000000
ID=63,17.00851273, -167, -251,5480, 15716, -2296,0.334473, 0.959229, -0.140137,0, 0, 0-18,12.44, 977.940.0,0.000000,0.000000
